Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/cohorts,4097,0,90,92.50329655848924,12.461700000130804,424.7160000013537,1333.0,34.473071485978906,0.0,90,100,110,120,140,160,200,240,330,420,420
GET,/cohorts/{cohort_week}/funnel,16088,0,91,94.64702362631431,13.722199997573625,443.3759999992617,282.0936101442069,135.3680190545347,0.0,91,100,110,120,140,160,210,250,350,430,440
GET,/cohorts/{cohort_week}/retention,40142,0,90,92.76129208561262,6.266899999900488,440.09449999794015,543.5839519705047,337.76373824509767,0.0,90,100,110,120,140,160,200,240,350,430,440
,Aggregated,60327,0,90,93.24665753312664,6.266899999900488,443.3759999992617,527.4615014835812,507.6048287856113,0.0,90,100,110,120,140,160,200,240,350,430,440
